latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
40.82305,-114.25319,311.93,0.53,0.42,2025-07-28,956,N,VIIRS,n,2.0NRT,293.16,1.83,N
40.93965,-117.86066,299.28,0.4,0.37,2025-07-28,956,N,VIIRS,n,2.0NRT,287.32,0.66,N
33.77584,-118.21682,299.5,0.47,0.39,2025-07-28,958,N,VIIRS,n,2.0NRT,289.19,0.28,N
33.79352,-117.47369,309.71,0.5,0.41,2025-07-28,958,N,VIIRS,n,2.0NRT,288.66,0.68,N
33.87653,-117.0007,298.18,0.53,0.42,2025-07-28,958,N,VIIRS,n,2.0NRT,287.28,0.27,N
34.03432,-118.10456,301.89,0.47,0.4,2025-07-28,958,N,VIIRS,n,2.0NRT,287.35,0.22,N
34.04058,-117.82083,300.23,0.48,0.4,2025-07-28,958,N,VIIRS,n,2.0NRT,288.28,0.67,N
34.14104,-117.42691,302.72,0.5,0.41,2025-07-28,958,N,VIIRS,n,2.0NRT,288.85,0.58,N
34.15277,-118.19097,315.58,0.46,0.39,2025-07-28,958,N,VIIRS,n,2.0NRT,286.67,0.73,N
34.28963,-118.80067,307.75,0.44,0.38,2025-07-28,958,N,VIIRS,n,2.0NRT,286.22,0.66,N
34.29313,-118.7998,304.58,0.44,0.38,2025-07-28,958,N,VIIRS,n,2.0NRT,286.43,0.42,N
34.31995,-118.51266,302.27,0.45,0.39,2025-07-28,958,N,VIIRS,n,2.0NRT,286.14,0.47,N
34.33582,-118.51863,310.63,0.45,0.39,2025-07-28,958,N,VIIRS,n,2.0NRT,287.22,1.21,N
34.42866,-118.64265,307.15,0.44,0.38,2025-07-28,958,N,VIIRS,n,2.0NRT,286.18,1.34,N
34.48185,-120.13301,298.57,0.4,0.37,2025-07-28,958,N,VIIRS,n,2.0NRT,288.04,0.21,N
34.60824,-117.33407,310.91,0.49,0.41,2025-07-28,958,N,VIIRS,n,2.0NRT,290.98,2.41,N
34.6209,-117.09863,312.48,0.51,0.41,2025-07-28,958,N,VIIRS,n,2.0NRT,291.65,2.57,N
35.12173,-118.36767,300.18,0.44,0.39,2025-07-28,958,N,VIIRS,n,2.0NRT,288.17,0.99,N
35.51895,-113.31539,310.66,0.5,0.49,2025-07-28,958,N,VIIRS,n,2.0NRT,288.27,2,N
37.18435,-121.68094,302.3,0.39,0.36,2025-07-28,958,N,VIIRS,n,2.0NRT,286.08,0.37,N
37.45618,-121.93073,301.5,0.39,0.36,2025-07-28,958,N,VIIRS,n,2.0NRT,287.37,0.62,N
37.755,-121.66164,302.85,0.39,0.36,2025-07-28,958,N,VIIRS,n,2.0NRT,285.8,0.34,N
37.88209,-121.18436,311.31,0.38,0.36,2025-07-28,958,N,VIIRS,n,2.0NRT,288.42,0.93,N
38.01471,-122.11009,300.35,0.39,0.36,2025-07-28,958,N,VIIRS,n,2.0NRT,290.12,0.77,N
38.03004,-122.09734,302.39,0.39,0.36,2025-07-28,958,N,VIIRS,n,2.0NRT,287.38,0.23,N
38.07048,-122.13841,308.56,0.39,0.36,2025-07-28,958,N,VIIRS,n,2.0NRT,292.7,1.5,N
38.07226,-122.14047,306.44,0.39,0.36,2025-07-28,958,N,VIIRS,n,2.0NRT,292.83,1.2,N
38.1608,-122.56583,296.15,0.4,0.37,2025-07-28,958,N,VIIRS,n,2.0NRT,283.48,0.3,N
38.51479,-121.19353,299.21,0.39,0.36,2025-07-28,958,N,VIIRS,n,2.0NRT,288.68,0.43,N
38.69286,-122.04214,301.36,0.39,0.36,2025-07-28,958,N,VIIRS,n,2.0NRT,287.47,0.35,N
39.49309,-119.62027,299.29,0.39,0.36,2025-07-28,958,N,VIIRS,n,2.0NRT,285.17,0.52,N
39.82917,-123.26841,305.53,0.43,0.38,2025-07-28,958,N,VIIRS,n,2.0NRT,286.88,1.06,N
39.83197,-123.26266,302.84,0.43,0.38,2025-07-28,958,N,VIIRS,n,2.0NRT,288.23,0.77,N
39.83263,-123.26759,304.46,0.43,0.38,2025-07-28,958,N,VIIRS,n,2.0NRT,287.5,0.77,N
39.83327,-123.27251,299.48,0.43,0.38,2025-07-28,958,N,VIIRS,n,2.0NRT,287.35,0.84,N
39.83545,-123.26195,301.51,0.43,0.38,2025-07-28,958,N,VIIRS,n,2.0NRT,287.84,0.77,N
39.83609,-123.26678,306.11,0.43,0.38,2025-07-28,958,N,VIIRS,n,2.0NRT,287.69,0.77,N
41.24182,-123.37991,304.48,0.44,0.39,2025-07-28,958,N,VIIRS,n,2.0NRT,286.91,0.87,N
41.24606,-123.38469,297.81,0.44,0.39,2025-07-28,958,N,VIIRS,n,2.0NRT,286.93,0.91,N
41.25455,-123.3944,302.18,0.44,0.39,2025-07-28,958,N,VIIRS,n,2.0NRT,287.09,0.95,N
32.18381,-115.01389,316.02,0.48,0.48,2025-07-28,1000,N,VIIRS,n,2.0NRT,292,2.04,N
33.1495,-115.37466,355.46,0.79,0.78,2025-07-28,1938,N,VIIRS,n,2.0NRT,316.37,25.43,D
33.1522,-115.36607,356.53,0.79,0.78,2025-07-28,1938,N,VIIRS,l,2.0NRT,308.12,25.43,D
33.15547,-115.37679,355.38,0.79,0.78,2025-07-28,1938,N,VIIRS,n,2.0NRT,314.08,32.63,D
33.15811,-115.36818,367,0.79,0.78,2025-07-28,1938,N,VIIRS,h,2.0NRT,312.41,40.82,D
33.28839,-115.51591,347.76,0.8,0.78,2025-07-28,1938,N,VIIRS,n,2.0NRT,318.47,9.85,D
32.55384,-116.43802,344.07,0.44,0.46,2025-07-28,2118,N,VIIRS,l,2.0NRT,318.38,5.87,D
37.79605,-121.0821,334.09,0.45,0.39,2025-07-28,2121,N,VIIRS,l,2.0NRT,305.95,1.86,D
38.71199,-121.87798,340.22,0.44,0.38,2025-07-28,2121,N,VIIRS,l,2.0NRT,312.26,5.1,D
39.15228,-122.22974,336.89,0.43,0.38,2025-07-28,2121,N,VIIRS,l,2.0NRT,307.12,5.99,D
39.63859,-121.78151,348.59,0.45,0.39,2025-07-28,2121,N,VIIRS,n,2.0NRT,313.49,10.01,D
40.13582,-122.1144,345.89,0.44,0.38,2025-07-28,2121,N,VIIRS,n,2.0NRT,315.75,9.76,D
41.24091,-123.37122,333.54,0.41,0.37,2025-07-28,2121,N,VIIRS,l,2.0NRT,307.4,3.84,D
41.25217,-123.39301,335.57,0.41,0.37,2025-07-28,2121,N,VIIRS,n,2.0NRT,310.19,2.52,D
41.25561,-123.39368,338.8,0.41,0.37,2025-07-28,2121,N,VIIRS,n,2.0NRT,309.11,2.52,D
37.38417,-113.24609,300.84,0.43,0.38,2025-07-29,937,N,VIIRS,n,2.0NRT,288.94,0.53,N
39.6399,-121.7872,304.65,0.57,0.43,2025-07-29,937,N,VIIRS,n,2.0NRT,292.55,0.86,N
40.82158,-114.25595,325.04,0.39,0.36,2025-07-29,937,N,VIIRS,n,2.0NRT,292.17,2.44,N
32.45583,-115.0348,308.44,0.43,0.38,2025-07-29,939,N,VIIRS,n,2.0NRT,292.14,0.83,N
32.50981,-116.77003,307.44,0.39,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,287.43,0.68,N
32.52839,-116.77859,312.71,0.39,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,287.9,1.62,N
33.77715,-118.23573,305.89,0.39,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,293.38,1.21,N
33.79269,-117.4771,302.48,0.38,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,288.92,0.92,N
33.81386,-118.23823,302.79,0.39,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,292.35,1.13,N
33.85203,-118.33348,304.56,0.39,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,292.53,0.92,N
33.87649,-117.00055,299.81,0.38,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,287.95,0.4,N
34.03489,-118.10737,302.57,0.39,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,288.63,0.27,N
34.1157,-117.92338,300.99,0.39,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,290.52,0.25,N
34.15322,-118.19529,307.1,0.39,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,287.99,0.69,N
34.24242,-118.38023,307.45,0.39,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,288.58,0.41,N
34.29024,-118.80034,315.14,0.4,0.37,2025-07-29,939,N,VIIRS,n,2.0NRT,287.11,0.8,N
34.31863,-118.51331,304.38,0.39,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,287.18,0.47,N
34.3332,-118.51891,308.58,0.39,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,288.24,0.65,N
34.42916,-118.64592,316.66,0.4,0.37,2025-07-29,939,N,VIIRS,n,2.0NRT,287.83,1.7,N
34.60892,-117.33817,308.02,0.38,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,292.84,1.45,N
34.62254,-117.09998,324.98,0.38,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,295.5,1.99,N
35.51594,-113.31386,316.04,0.45,0.39,2025-07-29,939,N,VIIRS,n,2.0NRT,288.73,2.45,N
36.88583,-120.18177,310.7,0.46,0.39,2025-07-29,939,N,VIIRS,n,2.0NRT,289.55,1.22,N
36.88942,-120.18106,310.9,0.46,0.39,2025-07-29,939,N,VIIRS,n,2.0NRT,289.97,1.22,N
37.03613,-116.42513,315.65,0.38,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,287.42,1.8,N
37.03941,-116.42432,323.57,0.38,0.36,2025-07-29,939,N,VIIRS,n,2.0NRT,289.37,1.8,N
37.45572,-121.93396,304.57,0.55,0.43,2025-07-29,939,N,VIIRS,n,2.0NRT,288.39,0.78,N
37.88483,-121.18335,300.18,0.51,0.41,2025-07-29,939,N,VIIRS,n,2.0NRT,289.62,0.38,N
38.07022,-122.138,304.38,0.57,0.43,2025-07-29,939,N,VIIRS,n,2.0NRT,293.45,1.69,N
32.19286,-115.05406,351.74,0.45,0.39,2025-07-29,2057,N,VIIRS,l,2.0NRT,325.09,17.75,D
32.19643,-115.05467,353.48,0.45,0.39,2025-07-29,2057,N,VIIRS,n,2.0NRT,321.04,11.55,D
36.38153,-121.83095,330.76,0.41,0.37,2025-07-29,2059,N,VIIRS,n,2.0NRT,302.99,2.86,D
38.00928,-121.17764,334.6,0.39,0.36,2025-07-29,2059,N,VIIRS,n,2.0NRT,309.03,2.13,D
38.07877,-121.23031,345.93,0.39,0.36,2025-07-29,2059,N,VIIRS,n,2.0NRT,318.57,5.61,D
39.42099,-122.10252,345.65,0.39,0.36,2025-07-29,2059,N,VIIRS,n,2.0NRT,312.54,7.79,D
39.42175,-122.09799,347.22,0.39,0.36,2025-07-29,2059,N,VIIRS,n,2.0NRT,315.12,7.79,D
